IBGE;UF;MUNICIPIO;CNES;NOME FANTASIA;RAZAO SOCIAL;CNPJ PROPRIO;CNPJ MANTENEDORA;TIPO GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP;LATITUDE;LONGITUDE
354850;SP;SANTOS;5048842;LUIS ANTONIO DE ARRUDA AIDAR;LUIS ANTONIO DE ARRUDA AIDAR;;;M;RUA LUIZ SUPLICY;35;GONZAGA;11055330;-23.96594;-46.33348
354850;SP;SANTOS;5049857;BRIGITE BUCHELE;BRIGITE BUCHELE;;;M;AVENIDA DOUTOR PEDRO LESSA;2287;EMBARE;11025003;-23.96684;-46.31542
354850;SP;SANTOS;3980324;MED MULHER CLINICA MEDICA LTDA;MED MULHER CLINICA MEDICA LTDA;07669726000160;;M;AVENIDA DONA ANA COSTA;311;GONZAGA;11060001;-23.94517;-46.33019
354850;SP;SANTOS;7162898;SECAO DE AGENDAMENTOS DE CONSULTAS E EXAMES;MUNICIPIO DE SANTOS;;58200015000183;M;RUA BARAO DE PARAPIACABA;241;ENCRUZILHADA;11050251;-23.961;-46.334
354850;SP;SANTOS;7169191;CLINICA PSICOLOGICA MARCIA SANTOS FREITAS;MARCIA SANTOS FREITAS;;;M;RUA PASTEUR;94;GONZAGA;11060440;-23.96288;-46.33465
354850;SP;SANTOS;7169396;PAULA CRUSO LOURENCO;PAULA CARUSO LOURENCO;;;M;AV PEDRO LESSA;1920;EMBARE;11050100;-23.96880;-46.31250
354850;SP;SANTOS;7197403;FELLIPE MIRANDA LEAL;FELLIPE MIRANDA LEAL;;;M;AVENIDA CONSELHEIRO NEBIAS;444;ENCRUZILHADA;11045000;-23.94581;-46.32172
354850;SP;SANTOS;7188242;CRISTIANE SARGO GOMES MENEZES;CRISTIANE SARGO GOMES MENEZES;;;M;RUA SAO PAULO;41;VILA BELMIRO;11075330;-23.93976;-46.30093
354850;SP;SANTOS;5077893;LUCIANA BORGES MINAS;LUCIANA BORGES MINAS;;;M;AVENIDA ALMIRANTE COCHRANE;194;APARECIDA;11040003;-23.97148;-46.30988
354850;SP;SANTOS;5193648;RODOLFO ATIQUE;RODOLFO ATIQUE;;;M;AVENIDA DONA ANA COSTA;532;GONZAGA;11060002;-23.94517;-46.33019
354850;SP;SANTOS;5193656;AMARILDO BENEDITO GOMES DA SILVA;AMARILDO BENEDITO GOMES DA SILVA;;;M;AVENIDA SENADOR FEIJO;686;CENTRO;11015501;-23.94769;-46.32681
354850;SP;SANTOS;5193664;LUCIANA OLIVEIRA BUENO;LUCIANA OLIVEIRA BUENO;;;M;AVENIDA DOUTOR PEDRO LESSA;1064;APARECIDA;11025001;-23.97170;-46.30818
354850;SP;SANTOS;5312094;INTERCLIN;INTERCLIN CLINICA DE CIRURGIA BUCO MAXILO FACIAL LTDA;08002723000131;;M;RUA MAJOR QUINTINO LACERDA;26;JABAQUARA;11013610;-23.94217;-46.33707
354850;SP;SANTOS;5317010;S H SERVICO HOSPITALAR DE ANESTESIA CIRURGICA LTDA;S H SERVICO HOSPITALAR DE ANESTESIA CIRURGICA LTDA;45060225000171;;M;AVENIDA SAO FRANCISCO;261;CENTRO;11013203;-23.93719;-46.32722
354850;SP;SANTOS;5317053;INSTITUTO DE LASERTERAPIA MED LASER LTDA;INSTITUTO DE LASERTERAPIA MED LASER LTDA;60014776000273;;M;AVENIDA DONA ANA COSTA;127;GONZAGA;11060001;-23.94517;-46.33019
354850;SP;SANTOS;3588602;VIRGILIO ALEXANDRE NUNES DE AGUIAR;VIRGILIO ALEXANDRE NUNES DE AGUIAR;;;M;AVENIDA SENADOR PINHEIRO MACHADO;430;MARAPE;11075000;-23.95629;-46.34475
354850;SP;SANTOS;3611469;TOTAL COR;TOTAL COR CENTRO DE REFERENCIA EM CARDIOLOGIA LTDA;11913750000170;;M;AVENIDA DONA ANA COSTA;48;VILA MATHIAS;11060000;-23.94517;-46.33019
354850;SP;SANTOS;5322499;TRIMED ASSISTENCIA MEDICA LTDA;TRIMED ASSISTENCIA MEDICA LTDA;07764575000120;;M;AV ANA COSTA;464;GONZAGA;11075370;-23.96217;-46.33230
354850;SP;SANTOS;5324882;RICARDO MATSUJI YAMAZAKI;RICARDO MATSUJI YAMAZAKI;;;M;AVENIDA DOUTOR BERNARDINO DE CAMPOS;517;GONZAGA;11065003;-23.96431;-46.33867
354850;SP;SANTOS;3350339;CARLOS ANTUNES DE PAULA;CARLOS ANTUNES DE PAULA;;;M;AVENIDA DONA ANA COSTA;259;GONZAGA;11060001;-23.96132;-46.33215
